49, Craft-repair, Private,40,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
24, Prof-specialty, Private,20,0, Assoc-acdm,12, Never-married, Own-child, Black, Male, United-States, <=50K
47, Farming-fishing, Private,65,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
29, Adm-clerical, Private,60,0, HS-grad,9, Never-married, Own-child, Black, Female, United-States, <=50K
35, Handlers-cleaners, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
28, Tech-support, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
33, Tech-support, Local-gov,50,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, <=50K
17, Farming-fishing, State-gov,40,0, 10th,6, Never-married, Own-child, White, Male, United-States, <=50K
45, Machine-op-inspct, Private,45,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
40, Exec-managerial, Private,40,0, Prof-school,15, Never-married, Not-in-family, White, Female, Cuba, <=50K
30, Craft-repair, Self-emp-not-inc,50,99999, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, >50K
57, Exec-managerial, Private,40,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, <=50K
23, Transport-moving, Private,38,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
56, Craft-repair, Private,45,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, >50K
59, Prof-specialty, Private,50,0, Doctorate,16, Married-civ-spouse, Husband, White, Male, United-States, >50K
22, Craft-repair, Self-emp-inc,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
72, Prof-specialty, Self-emp-inc,50,99999, Prof-school,15, Married-civ-spouse, Husband, White, Male, United-States, >50K
29, Craft-repair, Private,45,3411, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
69, Other-service, Self-emp-inc,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
41, Craft-repair, Private,72,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
36, Exec-managerial, Private,50,4650, 12th,8, Never-married, Not-in-family, White, Male, United-States, <=50K
57, Tech-support, Private,40,-1887, HS-grad,9, Married-civ-spouse, Husband, Black, Male, Trinadad&Tobago, >50K
21, Tech-support, Private,25,0, Some-college,10, Never-married, Own-child, White, Female, Ecuador, <=50K
70, Other-service, Self-emp-not-inc,20,2329, HS-grad,9, Widowed, Other-relative, White, Female, United-States, <=50K
25, Sales, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
47, Craft-repair, Federal-gov,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
32, Craft-repair, Self-emp-not-inc,55,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
44, Tech-support, Local-gov,40,-1340, Assoc-voc,11, Never-married, Not-in-family, White, Male, United-States, <=50K
40, Prof-specialty, Local-gov,48,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
29, Adm-clerical, Private,40,0, Some-college,10, Never-married, Not-in-family, White, Female, United-States, <=50K
41, Exec-managerial, Private,50,27828, Masters,14, Never-married, Not-in-family, White, Male, United-States, >50K
22, Exec-managerial, Private,30,0, Bachelors,13, Never-married, Own-child, White, Female, United-States, <=50K
20, Machine-op-inspct, Private,42,0, HS-grad,9, Never-married, Own-child, White, Female, United-States, <=50K
45, Prof-specialty, Private,40,-1977, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
59, Exec-managerial, Private,40,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
25, Other-service, Private,12,0, 11th,7, Divorced, Unmarried, White, Female, United-States, <=50K
39, Sales, Private,50,15024, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
57, Prof-specialty, State-gov,35,0, Some-college,10, Married-civ-spouse, Husband, Black, Male, United-States, >50K
35, Sales, Self-emp-inc,50,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Machine-op-inspct, Private,50,0, 12th,8, Never-married, Not-in-family, Black, Female, United-States, <=50K
29, Craft-repair, Self-emp-not-inc,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
26, Prof-specialty, Federal-gov,40,0, Masters,14, Never-married, Not-in-family, White, Male, United-States, <=50K
29, Tech-support, Private,40,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
38, Transport-moving, Private,40,0, 11th,7, Married-civ-spouse, Husband, White, Male, United-States, <=50K
21, Craft-repair, Private,40,0, Assoc-voc,11, Never-married, Own-child, Black, Male, United-States, <=50K
47, Other-service, Private,35,0, HS-grad,9, Separated, Other-relative, Black, Female, United-States, <=50K
39, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
32, Sales, Private,50,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, >50K
31, Craft-repair, Private,55,0, HS-grad,9, Divorced, Unmarried, White, Male, United-States, <=50K
23, Adm-clerical, Private,20,0, Bachelors,13, Never-married, Own-child, White, Female, United-States, <=50K
43, Craft-repair, Private,42,0, HS-grad,9, Married-AF-spouse, Wife, Black, Female, United-States, >50K
34, Handlers-cleaners, Private,40,0, 10th,6, Married-civ-spouse, Husband, White, Male, Portugal, <=50K
49, Sales, Self-emp-not-inc,50,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
55, Craft-repair, Private,40,0, Bachelors,13, Separated, Not-in-family, White, Male, ?, <=50K
58, Prof-specialty, Private,50,0, Bachelors,13, Divorced, Not-in-family, White, Female, United-States, <=50K
39, Sales, Private,50,4687, HS-grad,9, Divorced, Not-in-family, White, Female, United-States, >50K
48, Transport-moving, Federal-gov,40,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, >50K
43, Adm-clerical, State-gov,40,0, HS-grad,9, Never-married, Unmarried, Black, Female, United-States, <=50K
49, Handlers-cleaners, Private,80,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
19, Other-service, Private,20,0, 12th,8, Never-married, Own-child, White, Female, United-States, <=50K
54, Craft-repair, Private,50,0, 11th,7, Divorced, Own-child, White, Female, United-States, >50K
34, Sales, Private,45,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
62, Transport-moving, Private,60,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
90, Adm-clerical, Local-gov,20,0, Assoc-acdm,12, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, Philippines, <=50K
44, Prof-specialty, Private,60,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
39, Machine-op-inspct, Private,48,0, HS-grad,9, Never-married, Unmarried, White, Male, United-States, <=50K
44, Sales, Private,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
45, Other-service, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, Philippines, <=50K
22, Other-service, Private,20,0, Some-college,10, Never-married, Other-relative, Black, Male, United-States, <=50K
20, Sales, Private,35,0, Some-college,10, Never-married, Not-in-family, White, Male, United-States, <=50K
51, Craft-repair, Private,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
48, Other-service, Private,30,0, 7th-8th,4, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, China, <=50K
46, Transport-moving, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
58, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
21, ?, ?,40,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
25, Craft-repair, Private,40,0, 12th,8, Never-married, Own-child, White, Male, United-States, <=50K
27, Other-service, Private,60,0, 5th-6th,3, Never-married, Not-in-family, White, Male, El-Salvador, <=50K
42, Prof-specialty, State-gov,72,0, Prof-school,15, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, India, >50K
60, Exec-managerial, Self-emp-not-inc,50,-2559, HS-grad,9, Never-married, Not-in-family, Black, Male, United-States, >50K
27, Transport-moving, State-gov,38,0, HS-grad,9, Never-married, Not-in-family, Amer-Indian-Eskimo, Male, United-States, >50K
42, Other-service, Private,23,0, Some-college,10, Married-civ-spouse, Wife, White, Female, United-States, <=50K
20, Handlers-cleaners, Private,30,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
38, Exec-managerial, Private,50,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
43, Exec-managerial, Self-emp-inc,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
41, Adm-clerical, Private,50,0, Assoc-acdm,12, Never-married, Not-in-family, Other, Female, United-States, <=50K
48, Exec-managerial, Local-gov,40,9562, Masters,14, Divorced, Unmarried, Black, Female, United-States, >50K
22, Adm-clerical, Private,20,0, 11th,7, Married-civ-spouse, Wife, White, Female, United-States, <=50K
34, Adm-clerical, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
30, Handlers-cleaners, Private,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
50, Prof-specialty, Local-gov,65,0, Masters,14, Divorced, Unmarried, White, Female, United-States, <=50K
39, Farming-fishing, Private,99,-2415, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
59, Prof-specialty, Private,50,0, Prof-school,15, Married-spouse-absent, Unmarried, White, Male, United-States, <=50K
46, Other-service, Private,40,-1651, 7th-8th,4, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, China, <=50K
47, Transport-moving, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
27, Exec-managerial, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
38, Sales, Self-emp-inc,50,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
50, Exec-managerial, Federal-gov,50,0, Masters,14, Never-married, Not-in-family, White, Female, United-States, <=50K
23, Tech-support, Private,40,0, Assoc-voc,11, Never-married, Not-in-family, White, Female, United-States, <=50K
59, Craft-repair, Private,55,-1887, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
67, ?, ?,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
35, Exec-managerial, Self-emp-not-inc,55,0, Bachelors,13, Divorced, Unmarried, White, Female, United-States, <=50K
52, Prof-specialty, State-gov,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
45, Machine-op-inspct, Private,15,0, HS-grad,9, Separated, Unmarried, Black, Female, United-States, <=50K
35, Farming-fishing, Private,50,-1672, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
26, Tech-support, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
25, Prof-specialty, Private,15,0, Bachelors,13, Never-married, Own-child, White, Female, United-States, <=50K
53, Exec-managerial, State-gov,70,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
35, Adm-clerical, Federal-gov,60,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, >50K
29, Prof-specialty, Private,50,0, Bachelors,13, Never-married, Not-in-family, White, Male, England, <=50K
21, Adm-clerical, Self-emp-not-inc,30,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
25, Sales, Private,40,0, Some-college,10, Never-married, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
36, Other-service, Private,40,0, Some-college,10, Divorced, Unmarried, White, Female, United-States, <=50K
43, Prof-specialty, Private,45,0, Some-college,10, Divorced, Unmarried, White, Male, United-States, <=50K
50, Sales, Self-emp-not-inc,50,0, Bachelors,13, Divorced, Not-in-family, White, Male, United-States, <=50K
31, Craft-repair, Private,50,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, <=50K
30, Craft-repair, Private,50,0, 12th,8, Married-civ-spouse, Husband, White, Male, United-States, <=50K
39, Craft-repair, Private,60,7688, Assoc-acdm,12, Married-civ-spouse, Husband, White, Male, Germany, >50K
55, Tech-support, Private,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
45, Prof-specialty, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
46, Exec-managerial, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
26, Craft-repair, Private,55,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
49, Protective-serv, Local-gov,56,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
31, Other-service, Private,35,0, Some-college,10, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
20, ?, ?,30,0, Some-college,10, Never-married, Own-child, Black, Male, United-States, <=50K
18, Sales, Private,20,0, 12th,8, Never-married, Own-child, White, Female, United-States, <=50K
41, Prof-specialty, Private,43,7688, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
55, Craft-repair, Private,40,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
44, Machine-op-inspct, Private,40,0, Some-college,10, Separated, Not-in-family, Black, Male, United-States, <=50K
60, Sales, Private,40,0, 10th,6, Widowed, Not-in-family, White, Female, United-States, <=50K
19, Other-service, Private,35,0, Some-college,10, Never-married, Other-relative, White, Female, United-States, <=50K
47, Priv-house-serv, Private,40,0, 5th-6th,3, Never-married, Own-child, White, Female, El-Salvador, <=50K
26, Sales, Private,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
31, Transport-moving, Private,45,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
20, ?, ?,16,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
25, Machine-op-inspct, Private,40,0, 10th,6, Never-married, Not-in-family, White, Male, Dominican-Republic, <=50K
35, Exec-managerial, Private,50,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
52, Machine-op-inspct, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, Black, Male, United-States, >50K
50, Adm-clerical, State-gov,40,0, HS-grad,9, Divorced, Own-child, White, Female, United-States, <=50K
45, Handlers-cleaners, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
57, ?, ?,5,0, HS-grad,9, Married-civ-spouse, Husband, Other, Male, Columbia, <=50K
18, Sales, Private,25,0, 11th,7, Never-married, Own-child, White, Female, United-States, <=50K
25, Adm-clerical, Local-gov,20,0, Bachelors,13, Never-married, Not-in-family, Asian-Pac-Islander, Male, India, <=50K
21, Prof-specialty, Private,40,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
55, Prof-specialty, Private,60,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
24, Exec-managerial, Private,65,0, Bachelors,13, Never-married, Own-child, Black, Female, United-States, <=50K
30, Other-service, Private,35,0, Prof-school,15, Widowed, Not-in-family, White, Male, United-States, <=50K
44, Prof-specialty, Private,35,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Adm-clerical, Private,40,0, Some-college,10, Widowed, Unmarried, Black, Female, United-States, <=50K
47, Machine-op-inspct, Private,40,0, Some-college,10, Divorced, Not-in-family, White, Female, United-States, <=50K
43, Exec-managerial, Local-gov,40,0, HS-grad,9, Divorced, Unmarried, Amer-Indian-Eskimo, Female, United-States, <=50K
46, Exec-managerial, Private,50,0, Prof-school,15, Never-married, Not-in-family, White, Male, United-States, >50K
34, Protective-serv, Local-gov,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
64, Craft-repair, Local-gov,99,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
40, Adm-clerical, Private,35,0, HS-grad,9, Never-married, Unmarried, Black, Female, United-States, <=50K
50, Protective-serv, Local-gov,40,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, United-States, >50K
42, Transport-moving, Private,50,-1902, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
24, ?, ?,40,0, Bachelors,13, Divorced, Not-in-family, White, Female, United-States, <=50K
30, Exec-managerial, Private,40,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
31, Handlers-cleaners, Private,45,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
17, Other-service, Private,15,0, 10th,6, Never-married, Own-child, White, Female, United-States, <=50K
42, Craft-repair, Private,40,0, Some-college,10, Divorced, Unmarried, White, Male, United-States, <=50K
40, Exec-managerial, Private,40,0, Some-college,10, Divorced, Not-in-family, White, Female, United-States, <=50K
18, Other-service, Self-emp-not-inc,4,0, 11th,7, Never-married, Own-child, White, Female, United-States, <=50K
44, Farming-fishing, Self-emp-not-inc,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
51, Adm-clerical, Local-gov,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, >50K
20, Prof-specialty, Self-emp-not-inc,10,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
28, Other-service, Private,40,3137, Assoc-voc,11, Married-civ-spouse, Other-relative, White, Female, United-States, <=50K
44, Exec-managerial, Private,50,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
36, Craft-repair, Private,40,0, 11th,7, Married-civ-spouse, Husband, White, Male, United-States, <=50K
60, Exec-managerial, Self-emp-not-inc,50,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
42, Prof-specialty, Local-gov,40,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, >50K
38, Machine-op-inspct, Private,45,3137, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
24, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
32, Exec-managerial, Private,55,3103, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
33, Farming-fishing, Private,45,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
37, Craft-repair, Private,40,0, Some-college,10, Never-married, Not-in-family, White, Male, United-States, <=50K
20, Adm-clerical, Private,20,0, HS-grad,9, Never-married, Own-child, Black, Male, United-States, <=50K
56, Craft-repair, Private,40,0, HS-grad,9, Separated, Unmarried, White, Male, United-States, <=50K
36, Other-service, Private,28,0, HS-grad,9, Separated, Unmarried, Black, Female, United-States, <=50K
40, Prof-specialty, Private,50,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
51, Transport-moving, Private,60,7298, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
57, Adm-clerical, Self-emp-inc,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
25, Craft-repair, Self-emp-not-inc,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
49, Exec-managerial, Self-emp-inc,50,15024, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
38, Craft-repair, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
38, Prof-specialty, Private,40,0, HS-grad,9, Never-married, Not-in-family, White, Male, United-States, >50K
54, Transport-moving, Private,70,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
22, Craft-repair, Private,55,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
45, Sales, Private,65,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, >50K
33, Other-service, Private,40,0, HS-grad,9, Divorced, Unmarried, White, Female, United-States, <=50K
42, Prof-specialty, Private,45,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
48, Handlers-cleaners, Private,40,0, 5th-6th,3, Never-married, Not-in-family, White, Male, Mexico, <=50K
52, Machine-op-inspct, Private,40,0, 7th-8th,4, Never-married, Not-in-family, Black, Female, United-States, <=50K
35, Protective-serv, Private,55,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
54, Tech-support, Private,25,7688, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
24, Handlers-cleaners, Private,40,0, 1st-4th,2, Married-civ-spouse, Other-relative, White, Male, Mexico, <=50K
30, Handlers-cleaners, Private,72,0, HS-grad,9, Never-married, Unmarried, Black, Male, United-States, <=50K
31, Other-service, Private,50,-1672, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
50, Handlers-cleaners, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
30, Craft-repair, Private,40,0, Some-college,10, Married-civ-spouse, Husband, White, Male, United-States, <=50K
63, Prof-specialty, Self-emp-not-inc,32,-1977, Bachelors,13, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, China, >50K
65, Farming-fishing, Self-emp-not-inc,40,0, 7th-8th,4, Married-civ-spouse, Husband, White, Male, United-States, <=50K
42, Craft-repair, Private,40,0, 7th-8th,4, Married-civ-spouse, Husband, Other, Male, United-States, <=50K
39, Transport-moving, Private,45,0, 12th,8, Married-spouse-absent, Not-in-family, Black, Male, ?, <=50K
34, Exec-managerial, Private,45,0, Bachelors,13, Married-civ-spouse, Husband, Black, Male, United-States, >50K
34, ?, ?,40,0, HS-grad,9, Never-married, Unmarried, Black, Female, United-States, <=50K
34, Adm-clerical, Self-emp-inc,45,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
21, Prof-specialty, State-gov,20,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
40, Craft-repair, Self-emp-not-inc,66,0, HS-grad,9, Married-civ-spouse, Husband, Asian-Pac-Islander, Male, South, <=50K
22, Adm-clerical, Private,15,0, Assoc-acdm,12, Never-married, Not-in-family, White, Female, United-States, <=50K
58, Prof-specialty, Local-gov,40,0, Bachelors,13, Married-civ-spouse, Wife, White, Female, United-States, >50K
39, Prof-specialty, Self-emp-not-inc,40,4787, Doctorate,16, Never-married, Not-in-family, White, Male, United-States, >50K
37, Exec-managerial, Private,35,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
29, Tech-support, Private,40,0, HS-grad,9, Married-spouse-absent, Own-child, Black, Male, United-States, <=50K
29, Exec-managerial, Private,60,0, Masters,14, Never-married, Not-in-family, Asian-Pac-Islander, Male, United-States, <=50K
49, Transport-moving, Private,90,0, HS-grad,9, Divorced, Not-in-family, White, Male, United-States, <=50K
74, Sales, Private,10,0, Masters,14, Divorced, Not-in-family, White, Female, United-States, <=50K
20, Adm-clerical, Private,40,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
37, Transport-moving, Private,50,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, >50K
49, Craft-repair, Self-emp-not-inc,40,0, 9th,5, Married-civ-spouse, Husband, White, Male, Canada, <=50K
42, Prof-specialty, Private,60,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, <=50K
26, Prof-specialty, Private,50,13550, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, >50K
41, Exec-managerial, Private,40,0, Masters,14, Married-civ-spouse, Wife, White, Female, United-States, >50K
61, Transport-moving, Self-emp-not-inc,30,0, 7th-8th,4, Married-civ-spouse, Husband, White, Male, United-States, <=50K
39, Transport-moving, Private,40,0, HS-grad,9, Never-married, Own-child, White, Male, United-States, <=50K
47, Prof-specialty, Local-gov,40,0, Masters,14, Married-civ-spouse, Husband, White, Male, United-States, >50K
41, Transport-moving, Private,40,7443, HS-grad,9, Divorced, Unmarried, White, Male, United-States, <=50K
46, Exec-managerial, Local-gov,44,0, Assoc-acdm,12, Married-civ-spouse, Husband, White, Male, United-States, >50K
21, Other-service, Local-gov,20,0, 12th,8, Never-married, Own-child, Black, Male, United-States, <=50K
40, Craft-repair, Private,40,0, 10th,6, Married-civ-spouse, Husband, Black, Male, United-States, <=50K
30, Other-service, Private,35,0, Some-college,10, Divorced, Unmarried, White, Female, United-States, <=50K
40, Prof-specialty, Private,50,14084, Prof-school,15, Never-married, Not-in-family, White, Female, United-States, >50K
22, Prof-specialty, Private,40,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
25, Machine-op-inspct, Private,50,0, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
48, Machine-op-inspct, Private,40,0, HS-grad,9, Never-married, Not-in-family, Black, Male, United-States, <=50K
19, Other-service, Private,20,34095, HS-grad,9, Never-married, Own-child, White, Female, United-States, <=50K
35, Exec-managerial, Private,45,0, Bachelors,13, Never-married, Not-in-family, White, Male, United-States, <=50K
23, Handlers-cleaners, Private,40,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
51, Handlers-cleaners, Private,40,0, Assoc-voc,11, Married-civ-spouse, Husband, White, Male, Greece, <=50K
42, Adm-clerical, Local-gov,8,0, HS-grad,9, Married-civ-spouse, Husband, White, Male, United-States, <=50K
22, Exec-managerial, Private,20,0, Bachelors,13, Never-married, Other-relative, White, Female, United-States, <=50K
31, ?, ?,75,0, HS-grad,9, Divorced, Own-child, White, Male, United-States, <=50K
23, Tech-support, Private,45,0, Bachelors,13, Never-married, Not-in-family, Black, Female, United-States, <=50K
45, Prof-specialty, Private,55,0, Bachelors,13, Married-civ-spouse, Husband, White, Male, United-States, <=50K
20, Adm-clerical, Private,40,0, Some-college,10, Never-married, Own-child, White, Male, United-States, <=50K
21, Adm-clerical, Private,20,2176, Some-college,10, Never-married, Own-child, White, Female, United-States, <=50K
29, Sales, Private,35,0, HS-grad,9, Separated, Unmarried, White, Female, United-States, <=50K
